_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
IUBDrXATuW,2020-06-23T21:02:46.510Z,7113692.0,9.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-23T21:04:05.487Z,2020-08-01T00:10:07.842Z
R3OD6VfTJa,2020-06-23T21:29:23.942Z,2362287.0,56.0,9.0,9.0,3.0,0.0,2.0,0.0,2.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-23T21:30:39.899Z,2020-08-01T00:09:59.489Z
woReIe38Df,2020-06-23T23:25:38.238Z,2363070.0,37.0,25.0,37.0,25.0,0.0,0.0,3.0,1.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-23T23:26:29.365Z,2020-08-01T00:09:33.984Z
aYD7VsWFcA,2020-06-24T03:00:00.000Z,2676060.0,58.0,23.0,0.0,10.0,0.0,0.0,0.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-24T13:28:02.843Z,2020-08-01T00:09:15.409Z
G4IWEOmGMB,2020-06-24T21:56:47.079Z,2363070.0,31.0,29.0,31.0,29.0,0.0,0.0,0.0,1.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-24T21:58:04.165Z,2020-07-31T23:53:32.558Z
oRyFiv02gy,2020-06-24T22:24:51.801Z,7113692.0,12.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-24T22:26:09.632Z,2020-07-31T23:53:27.830Z
ope3TY3K54,2020-06-25T12:58:16.018Z,2362287.0,59.0,8.0,11.0,2.0,0.0,2.0,0.0,2.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-25T12:59:54.684Z,2020-07-31T23:42:34.037Z
zEDsS5GP4k,2020-06-25T16:07:19.985Z,2676060.0,57.0,25.0,0.0,11.0,0.0,0.0,0.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-25T16:11:26.859Z,2020-07-31T23:39:34.447Z
yCvORQl0L5,2020-06-25T21:08:02.454Z,7113692.0,14.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-25T21:09:16.400Z,2020-07-31T23:36:23.541Z
XpwuEC7bJv,2020-06-25T23:18:37.870Z,2363070.0,29.0,31.0,29.0,31.0,0.0,0.0,1.0,5.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-25T23:20:05.879Z,2020-07-31T23:35:48.409Z
2121kicWo5,2020-06-26T17:19:36.324Z,2676060.0,57.0,26.0,1.0,11.0,0.0,0.0,0.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-26T17:21:37.936Z,2020-07-31T23:21:20.253Z
lJOFnFucDR,2020-06-26T21:13:38.439Z,2363070.0,29.0,31.0,29.0,31.0,0.0,0.0,4.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-26T21:15:38.381Z,2020-07-31T23:19:24.351Z
qeLyUSlk4e,2020-06-27T17:11:24.896Z,2676060.0,50.0,23.0,1.0,9.0,1.0,0.0,1.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-27T17:15:15.872Z,2020-07-31T23:03:26.793Z
UG4WNpAitm,2020-06-27T21:41:28.150Z,2363070.0,20.0,30.0,20.0,30.0,0.0,0.0,3.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-27T21:41:46.042Z,2020-07-31T23:01:53.005Z
